genotype,days_to_heading_BLUE,plant_height_BLUE,thousand_kernel_weight_BLUE,powdery_mildew_BLUE,leaf_rust_BLUE,septoria_tritici_ssp_BLUE,protein_content_BLUE,sds_sedimentation_volume_BLUE
TA00321,129.56,83.35,NA,NA,NA,NA,NA,NA
TA00322,121.41,64.19,33.22,1.87,1.31,4,12.83,49.32
TA00323,125.31,66.71,NA,1.86,1.87,NA,NA,NA
TA00324,133.57,119.25,NA,1.86,1.87,NA,NA,NA
TA00325,134.76,116.9,NA,1.86,2.93,NA,NA,NA
TA00326,134.44,118.27,NA,1.86,3.29,NA,NA,NA
TA00327,134.93,118.32,NA,1.86,1.87,NA,NA,NA
TA00328,124.3,63.11,NA,2.08,3.29,NA,NA,NA
TA00329,125.79,100.01,NA,NA,NA,NA,NA,NA
TA00330,125.53,64.57,34.81,1.87,1.88,3.08,13.35,45.97
TA00331,128.11,92.48,NA,3.86,4.22,NA,NA,NA
TA00332,125.32,90.3,NA,2.08,3.16,NA,NA,NA
TA00333,126.56,76.94,NA,NA,NA,NA,NA,NA
TA00334,138.24,121.04,NA,NA,NA,NA,NA,NA
TA00335,130.45,63.09,NA,2.08,1.87,NA,NA,NA
TA00336,128.3,66.19,44.44,1.96,3.75,2.96,13.36,46.85
TA00337,125.79,75.99,NA,NA,NA,NA,NA,NA
TA00338,125.79,79.91,NA,NA,NA,NA,NA,NA
TA00339,124.41,76.75,NA,2.08,3,NA,NA,NA
TA00340,115.31,73.87,NA,2.08,3.16,NA,NA,NA
TA00341,119.18,86.91,NA,2.08,3.16,NA,NA,NA
TA00342,122.79,73.28,NA,1.97,3.16,NA,NA,NA
TA00343,121.16,89.3,NA,1.97,1.87,NA,NA,NA
TA00344,121.16,79.92,NA,1.86,0.58,NA,NA,NA
TA00345,121.19,102.87,NA,1.97,3.16,NA,NA,NA
TA00346,122.71,100.01,NA,2.08,5.09,NA,NA,NA
TA00347,139.79,120.8,NA,1.98,0.65,NA,NA,NA
TA00348,118.51,62.82,NA,2.08,0.58,NA,NA,NA
TA00349,118.32,62.97,NA,2.08,0.58,NA,NA,NA
TA00350,119.32,68.95,NA,2.08,0.58,NA,NA,NA
TA00351,120.84,72.75,NA,2.08,0.58,NA,NA,NA
TA00352,122.64,77.71,NA,1.86,0.58,NA,NA,NA
TA00353,139.1,110.08,NA,1.86,0.58,NA,NA,NA
TA00354,124.35,95.89,NA,1.97,0.58,NA,NA,NA
TA00355,123.63,77.84,NA,NA,NA,NA,NA,NA
TA00356,124.48,73.68,NA,1.86,1.87,NA,NA,NA
TA00357,126.68,62.43,NA,1.86,0.58,NA,NA,NA
TA00358,118.8,67.7,NA,1.86,1.87,NA,NA,NA
TA00359,124.68,72.2,NA,1.97,0.58,NA,NA,NA
TA00360,128.79,125.06,NA,NA,NA,NA,NA,NA
TA00361,123.02,59.16,NA,NA,NA,NA,NA,NA
TA00362,119.8,82.05,NA,1.86,0.58,NA,NA,NA
TA00363,123.16,101.33,NA,1.86,3.16,NA,NA,NA
TA00364,121.08,61.5,53.12,1.87,4.08,3.35,15.92,55.46
TA00365,130.28,107.38,NA,1.86,1.87,NA,NA,NA
TA00366,129.95,73.95,NA,1.86,3.16,NA,NA,NA
TA00367,139.79,116.3,NA,2.14,4.43,NA,NA,NA
TA00368,131.19,110.17,NA,1.77,0.55,NA,NA,NA
TA00369,124.63,84.05,NA,1.86,1.87,NA,NA,NA
TA00370,126.77,100.38,NA,2.24,3.16,NA,NA,NA
TA00371,124.48,80.08,NA,1.86,3.16,NA,NA,NA
TA00372,134.93,116.63,NA,2.08,1.87,NA,NA,NA
TA00373,140.52,102.29,NA,2.08,6.87,NA,NA,NA
TA00374,122.98,101.38,NA,2.24,5.09,NA,NA,NA
TA00375,128.56,94.88,NA,NA,3.16,NA,NA,NA
TA00376,125.15,75.5,NA,2.08,5.09,NA,NA,NA
TA00377,124.78,88.62,NA,1.86,3.16,NA,NA,NA
TA00378,124.47,82.13,NA,NA,NA,NA,NA,NA
TA00379,126.08,86.79,NA,NA,NA,NA,NA,NA
TA00380,129.93,102.08,NA,2.03,3.13,NA,NA,NA
TA00381,130.23,98.74,NA,1.87,3.13,NA,NA,NA
TA00382,130.35,107.27,NA,1.87,3.13,NA,NA,NA
TA00383,121.41,93.18,NA,2.14,3.37,NA,NA,NA
TA00384,NA,NA,NA,NA,NA,NA,NA,NA
TA00385,129.6,103.02,NA,2.14,1.13,NA,NA,NA
TA00386,130.75,104.93,NA,1.98,1.38,NA,NA,NA
TA00387,135.58,86.69,NA,1.86,5.09,NA,NA,NA
TA00388,119.34,96,NA,1.86,1.87,NA,NA,NA
TA00389,119.98,68.81,NA,1.86,3.16,NA,NA,NA
TA00390,119.48,71.29,NA,1.86,5.09,NA,NA,NA
TA00391,121.67,78.44,38.24,1.87,3.05,3.15,13.46,49.39
TA00392,122.38,70.71,NA,2.24,5.09,NA,NA,NA
TA00393,122.52,69.79,NA,1.97,0.58,NA,NA,NA
TA00394,122.52,83.14,NA,2.24,1.87,NA,NA,NA
TA00395,129.72,120.53,NA,NA,NA,NA,NA,NA
TA00396,131.32,107.07,NA,NA,NA,NA,NA,NA
TA00397,131.44,129.83,47.94,1.96,1.67,2.73,15.66,52.52
TA00398,131.26,125.8,47.07,1.96,1.72,2.78,15.74,50.92
TA00399,131.26,135.31,47.97,1.96,1.86,2.93,15.63,50.45
TA00400,123.59,68.55,37.49,1.87,2.83,2.93,13.59,40.44
TA00401,126.64,67.59,47.3,1.87,2.27,3.19,12.71,53.81
TA00402,125.93,70.07,37,1.51,3.39,3.19,12.61,40.92
TA00403,138.12,73.18,NA,1.86,4.93,NA,NA,NA
TA00404,129.39,112.31,NA,1.86,1.87,NA,NA,NA
TA00405,122.48,77.13,NA,1.86,1.87,NA,NA,NA
TA00406,123.18,75.44,NA,1.97,2.22,NA,NA,NA
TA00407,122.73,86.3,NA,2.24,5.09,NA,NA,NA
TA00408,121.98,72.16,NA,2.24,1.87,NA,NA,NA
TA00409,125.7,103.76,NA,1.97,1.87,NA,NA,NA
TA00410,122.41,71.33,NA,1.97,3.16,NA,NA,NA
TA00411,122.86,80.29,39.78,1.87,3.04,3.06,14.36,30.69
TA00412,124.11,83.02,NA,1.86,3.16,NA,NA,NA
TA00413,130.34,79.76,NA,1.86,1.87,NA,NA,NA
TA00414,122.87,82.06,NA,NA,NA,NA,NA,NA
TA00415,125.73,78.99,NA,1.86,3.16,NA,NA,NA
TA00416,122.32,75.11,NA,1.86,1.87,NA,NA,NA
TA00417,119.79,80.03,NA,1.97,0.58,NA,NA,NA
TA00418,122.37,65.74,NA,2.24,1.87,NA,NA,NA
TA00419,128.77,91.4,NA,1.97,1.87,NA,NA,NA
TA00420,125.11,97.35,NA,2.08,1.87,NA,NA,NA
TA00421,122.47,87.04,NA,NA,NA,NA,NA,NA
TA00422,120.25,94.3,NA,2.08,1.87,NA,NA,NA
TA00423,124.41,82.01,NA,2.24,5.09,NA,NA,NA
TA00424,126.57,78.58,NA,2.08,3.16,NA,NA,NA
TA00425,124.87,74.56,NA,NA,NA,NA,NA,NA
TA00426,121.9,81.62,NA,1.86,5.09,NA,NA,NA
TA00427,126.75,96.76,NA,2.24,5.09,NA,NA,NA
TA00428,127.39,68.24,NA,2.08,3.16,NA,NA,NA
TA00429,130.18,110.39,NA,1.97,1.87,NA,NA,NA
TA00430,127.19,92.8,NA,1.86,1.87,NA,NA,NA
TA00431,124.52,62.05,33.1,1.87,1.31,3.54,14,41.61
TA00432,124.47,75.55,NA,NA,NA,NA,NA,NA
TA00433,125.41,91.41,NA,2.24,1,NA,NA,NA
TA00434,125.7,95.6,NA,2.24,1.55,NA,NA,NA
TA00435,124.34,88.63,NA,1.98,3.37,NA,NA,NA
TA00436,126.53,81.3,NA,2.08,2.67,NA,NA,NA
TA00437,125.27,85.39,NA,1.87,2,NA,NA,NA
TA00438,123.03,64.31,NA,1.86,1.87,NA,NA,NA
TA00439,122.57,75.12,NA,1.86,1.87,NA,NA,NA
TA00440,134.31,114.13,46.94,2.31,1.37,3.09,13.97,40.65
TA00441,133.47,110.51,NA,NA,NA,NA,NA,NA
TA00442,133.08,115.57,NA,NA,NA,NA,NA,NA
TA00443,134.31,126.42,43.6,1.96,1.18,1.88,16.05,43.74
TA00444,133.21,133.01,48.28,1.87,0.88,2.34,14.8,43.21
TA00445,132.51,132.89,49.87,1.87,1.26,3.26,15.07,45.18
TA00446,132.39,130.91,48.34,1.78,1.25,2.26,15.36,49.04
TA00447,133.14,130.46,48.46,1.96,2.79,3,14.57,47.71
TA00448,130.27,110.38,35.79,2.43,4.29,2.64,15.55,39.75
TA00449,136.8,138.7,39.92,1.96,2.89,2.93,15.96,41.74
TA00450,134.68,135.07,42.48,1.96,1.58,3.04,15.83,49.78
TA00451,134.89,113.88,NA,1.97,1,NA,NA,NA
TA00452,133.67,134.1,43.53,1.88,0.72,2.79,14.26,29.54
TA00453,133.84,126.99,NA,1.77,1.55,NA,NA,NA
TA00454,133.75,136.35,44.93,1.79,2.32,2.93,15.89,43.5
TA00455,131.52,126.06,48.44,1.96,1.4,2.78,16.08,51.99
TA00456,134.08,115.06,NA,NA,NA,NA,NA,NA
TA00457,NA,NA,NA,NA,NA,NA,NA,NA
TA00458,133.32,122.02,NA,1.86,1.87,NA,NA,NA
TA00459,133.87,116.58,NA,NA,NA,NA,NA,NA
TA00460,133.87,124.53,NA,NA,NA,NA,NA,NA
TA00461,134.47,131.05,NA,NA,NA,NA,NA,NA
TA00462,123.02,101.83,NA,1.86,0.58,NA,NA,NA
TA00463,133.37,70.5,NA,1.86,0.58,NA,NA,NA
TA00464,127.09,66.16,37.91,1.87,2.92,3.1,14.02,42.55
TA00465,130.05,69.53,NA,NA,NA,NA,NA,NA
TA00466,129.5,67.86,NA,1.86,3.16,NA,NA,NA
TA00467,126.43,73.19,NA,1.86,1.87,NA,NA,NA
TA00468,122.82,73.6,NA,2.08,0.58,NA,NA,NA
TA00469,120.87,73.55,NA,NA,NA,NA,NA,NA
TA00470,124.29,81.49,NA,2.13,2.55,NA,NA,NA
TA00471,121.83,73.87,NA,1.98,6.62,NA,NA,NA
TA00472,122.86,76.15,NA,2.39,2.67,NA,NA,NA
TA00473,122.11,67.44,NA,2.24,1.87,NA,NA,NA
TA00474,121.24,66.43,40.25,1.87,3.36,3.11,16.01,49.96
TA00475,123.08,97.05,NA,NA,NA,NA,NA,NA
TA00476,124.02,66.21,NA,1.86,1.87,NA,NA,NA
TA00477,120.3,47.11,29.85,1.87,1.67,4.03,15.79,51.99
TA00478,126.52,73.91,NA,1.86,0.58,NA,NA,NA
TA00479,138.08,94.51,NA,NA,NA,NA,NA,NA
TA00480,125.77,68.41,NA,1.86,0.58,NA,NA,NA
TA00481,123.82,95.8,NA,1.86,1.87,NA,NA,NA
TA00482,128.02,64.53,NA,1.86,0.58,NA,NA,NA
TA00483,135.94,116.64,NA,2.08,3.67,NA,NA,NA
TA00484,136.45,127.32,NA,1.77,1.1,NA,NA,NA
TA00485,133.57,113.22,NA,2.24,0.58,NA,NA,NA
TA00486,134.57,127.93,NA,2.08,1.87,NA,NA,NA
TA00487,127.29,54.54,NA,NA,NA,NA,NA,NA
TA00488,139.88,120.53,NA,1.97,2.93,NA,NA,NA
TA00489,132.56,123.34,NA,1.86,0.58,NA,NA,NA
TA00490,122.28,79.38,38.78,2.01,1.54,3.02,14.88,49.32
TA00491,137.83,98.75,NA,2.39,2.1,NA,NA,NA
TA00492,134.84,112.14,NA,1.87,1,NA,NA,NA
TA00493,133.71,108.76,36.65,1.96,1.51,3.37,14.17,42.23
TA00494,125.9,74.56,NA,NA,NA,NA,NA,NA
TA00495,129.08,69.53,NA,NA,NA,NA,NA,NA
TA00496,125.82,81.08,NA,2.13,1.68,NA,NA,NA
TA00497,130.07,54.96,NA,2.39,0.55,NA,NA,NA
TA00498,131.87,58.51,NA,1.98,1.1,NA,NA,NA
TA00499,120.65,77.03,NA,NA,NA,NA,NA,NA
TA00500,123.47,88.03,NA,NA,NA,NA,NA,NA
TA00501,123.47,86.04,NA,NA,NA,NA,NA,NA
TA00502,122.09,76.15,NA,2.14,1.68,NA,NA,NA
TA00503,123.64,74.27,NA,1.87,2.67,NA,NA,NA
TA00504,122.26,74.06,NA,NA,NA,NA,NA,NA
TA00505,122.47,89.07,NA,NA,NA,NA,NA,NA
TA00506,118.44,76.07,NA,NA,NA,NA,NA,NA
TA00507,125.41,86.68,NA,1.77,1,NA,NA,NA
TA00508,141.08,115.01,NA,NA,NA,NA,NA,NA
TA00509,126.9,96.03,NA,NA,NA,NA,NA,NA
TA00510,132.32,110.04,NA,NA,NA,NA,NA,NA
TA00511,135.69,107.53,NA,NA,NA,NA,NA,NA
TA00512,135.08,101.05,NA,NA,NA,NA,NA,NA
TA00513,132.87,105.55,NA,NA,NA,NA,NA,NA
TA00514,122.08,99.06,NA,NA,NA,NA,NA,NA
TA00515,121.47,95.55,NA,NA,NA,NA,NA,NA
TA00516,138.69,121.53,NA,NA,NA,NA,NA,NA
TA00517,135.69,108.56,NA,NA,NA,NA,NA,NA
TA00518,124.68,84.14,NA,1.86,0.58,NA,NA,NA
TA00519,122.76,74.95,NA,2.39,2.67,NA,NA,NA
TA00520,127.14,78.92,NA,4.18,2.78,NA,NA,NA
TA00521,135.16,126.67,NA,1.97,1.65,NA,NA,NA
TA00522,128.28,64.51,NA,1.86,0.58,NA,NA,NA
TA00523,126.14,67.52,NA,1.86,1.87,NA,NA,NA
TA00524,128.98,82.75,NA,1.86,1.87,NA,NA,NA
TA00525,122.9,65.91,NA,2.08,0.58,NA,NA,NA
TA00526,134.77,97.64,NA,3.86,4.22,NA,NA,NA
TA00527,139.82,107.26,NA,1.86,7.22,NA,NA,NA
TA00528,120.53,86.09,33.93,2.05,2.84,3.01,15.35,54.35
TA00529,NA,NA,NA,NA,NA,NA,NA,NA
TA00530,124.57,85.94,NA,3.86,4.58,NA,NA,NA
TA00531,122.91,70.4,36.01,2.25,2.48,3.3,15.03,50
TA00532,135.02,108.25,NA,1.86,5.65,NA,NA,NA
TA00533,136.96,124.14,42.05,1.87,0.97,2.63,15.44,43.61
TA00534,134.65,134.52,41.89,1.78,2.59,2.98,15.43,32.17
TA00535,136.95,118.8,43.95,1.7,0.55,3.02,14.44,39.65
TA00536,134.79,132.62,40.93,1.79,1.4,3.34,15.5,40.8
TA00537,122.27,79.96,41.28,1.7,3.15,3.64,15.66,42.67
TA00538,134.47,131.12,41.79,1.88,0.13,3.02,15.6,31.3
TA00539,137.12,117.97,46.96,1.88,1.08,3.28,14.49,43.62
TA00540,138.49,115.56,49.2,1.7,-0.02,2.75,14.32,36.62
TA00541,138.87,111.29,40.31,1.96,1.24,2.84,14.08,37.22
TA00542,127.73,60.4,NA,1.86,1.87,NA,NA,NA
TA00543,124.36,64.46,NA,1.86,1.87,NA,NA,NA
TA00544,132.12,82.03,NA,1.86,1.87,NA,NA,NA
TA00545,122.88,65.08,37.92,2.32,2.58,3.19,13.5,50.12
TA00546,126.68,78.9,NA,2.24,1.87,NA,NA,NA
TA00549,129.07,68.06,39.33,1.96,2.05,2.96,12.27,44.91
TA00550,127.47,74.55,NA,NA,NA,NA,NA,NA
TA00551,119.65,73.05,NA,NA,NA,NA,NA,NA
TA00552,128.3,82.47,NA,2.08,3.16,NA,NA,NA
TA00553,124.7,81.58,NA,2.12,1.87,NA,NA,NA
TA00554,126.41,80.91,NA,2.08,3.16,NA,NA,NA
TA00555,133.07,103.02,NA,1.86,1.87,NA,NA,NA
TA00556,121.29,73.86,NA,1.97,5.09,NA,NA,NA
TA00557,120.9,93.09,NA,2.24,3.16,NA,NA,NA
TA00558,NA,NA,NA,NA,NA,NA,NA,NA
TA00559,122.51,95.22,NA,NA,NA,NA,NA,NA
TA00560,124.41,87.06,NA,5.56,5.06,NA,NA,NA
TA00561,128.45,115.19,NA,2.58,6.5,NA,NA,NA
TA00562,125.52,81.06,NA,3.56,3.06,NA,NA,NA
TA00563,124.41,84.51,NA,4.58,6.5,NA,NA,NA
TA00564,126.82,76.31,NA,7.05,2.12,NA,NA,NA
TA00565,125.75,103.54,NA,3.03,3.5,NA,NA,NA
TA00566,127.34,100.23,NA,2.05,5.57,NA,NA,NA
TA00567,126.82,100.41,NA,3.56,3.5,NA,NA,NA
TA00568,129.01,102.59,NA,6.03,2.12,NA,NA,NA
TA00569,121.14,69.19,NA,NA,NA,NA,NA,NA
TA00570,139.33,125.87,NA,NA,NA,NA,NA,NA
TA00571,137.23,119.84,NA,NA,NA,NA,NA,NA
TA00572,NA,NA,NA,NA,NA,NA,NA,NA
TA00573,134.34,111.39,NA,3.03,3.06,NA,NA,NA
TA00574,137.23,102.57,NA,NA,NA,NA,NA,NA
TA00575,137.23,106.73,NA,NA,NA,NA,NA,NA
TA00576,NA,NA,NA,NA,NA,NA,NA,NA
TA00577,124.05,76.59,NA,NA,NA,NA,NA,NA
TA00578,122.51,56.97,NA,NA,NA,NA,NA,NA
TA00579,122.51,66.38,NA,NA,NA,NA,NA,NA
TA00580,125.6,61.38,NA,NA,NA,NA,NA,NA
TA00581,126.05,66.4,NA,NA,NA,NA,NA,NA
TA00582,NA,NA,NA,NA,NA,NA,NA,NA
TA00583,NA,NA,NA,NA,NA,NA,NA,NA
TA00584,123.74,92.12,NA,NA,NA,NA,NA,NA
TA00585,123.51,91.4,NA,NA,NA,NA,NA,NA
TA00586,123.36,92.15,37.18,1.51,2.91,2.99,13.46,38.8
TA00587,125.27,81.44,NA,4.55,2.12,NA,NA,NA
TA00588,122.52,70.35,37.14,3.46,1.46,3.38,13.29,44.93
TA00589,123.51,86.87,NA,NA,NA,NA,NA,NA
TA00590,123.97,86.22,NA,NA,NA,NA,NA,NA
TA00591,122.66,63.76,38.94,1.92,2.78,3.15,13.49,46.88
TA00592,NA,NA,NA,NA,NA,NA,NA,NA
TA00593,NA,NA,NA,NA,NA,NA,NA,NA
TA00594,121.64,88.95,39.32,3.02,3.54,2.93,13.52,25.04
TA00595,124.67,63.13,31.88,1.51,1.18,3.65,14.5,46.07
TA00596,126.69,87.81,39.97,1.95,0.98,3.08,15.8,40.83
TA00597,122.55,61.35,NA,0.05,5.06,NA,NA,NA
TA00598,121.6,86.01,40.49,2.13,0,2.84,16.88,52.45
TA00599,125.32,88.58,43.37,2.82,3.73,3.13,15.21,50.23
TA00600,125.73,93.02,32.86,3.16,0.65,3.19,15.11,38.5
TA00601,NA,NA,NA,NA,NA,NA,NA,NA
TA00602,NA,NA,NA,NA,NA,NA,NA,NA
TA00607,NA,NA,NA,NA,NA,NA,NA,NA
TA00608,NA,NA,NA,NA,NA,NA,NA,NA
TA00609,NA,NA,NA,NA,NA,NA,NA,NA
TA00610,NA,NA,NA,NA,NA,NA,NA,NA
TA00611,NA,NA,NA,NA,NA,NA,NA,NA
TA00612,NA,NA,NA,NA,NA,NA,NA,NA
TA00613,127.55,63.54,NA,7.05,3.06,NA,NA,NA
TA00614,128.88,55.75,NA,1.06,3.06,NA,NA,NA
TA00615,131.55,56.75,NA,6.03,5.57,NA,NA,NA
TA00616,127.22,66.78,NA,1.06,0.12,NA,NA,NA
TA00617,125.22,59.05,NA,5.56,2.12,NA,NA,NA
TA00618,127.88,59.16,NA,3.03,1.68,NA,NA,NA
TA00619,126.55,57.7,NA,1.03,0.75,NA,NA,NA
TA00620,123.88,59.67,NA,2.05,0.75,NA,NA,NA
TA00621,127.55,65.29,NA,4.55,1.5,NA,NA,NA
TA00622,127.22,67.59,NA,1.06,0.12,NA,NA,NA
TA00623,NA,NA,NA,NA,NA,NA,NA,NA
TA00625,NA,NA,NA,NA,NA,NA,NA,NA
TA00626,NA,NA,NA,NA,NA,NA,NA,NA
TA00627,124.76,75.98,36.44,1.92,2.06,2.84,13.67,44.07
TA00628,126.36,85.26,42.2,1.92,1.68,3.17,15.04,50.33
TA00629,120.91,75.71,44.71,2.33,0.83,2.93,13.37,51.52
TA00630,NA,NA,NA,NA,NA,NA,NA,NA
TA00631,NA,NA,NA,NA,NA,NA,NA,NA
TA00634,NA,NA,NA,NA,NA,NA,NA,NA
TA00635,NA,NA,NA,NA,NA,NA,NA,NA
TA00636,NA,NA,NA,NA,NA,NA,NA,NA
TA00637,NA,NA,NA,NA,NA,NA,NA,NA
TA00638,NA,NA,NA,NA,NA,NA,NA,NA
TA00639,NA,NA,NA,NA,NA,NA,NA,NA
TA00640,NA,NA,NA,NA,NA,NA,NA,NA
TA00641,NA,NA,NA,NA,NA,NA,NA,NA
TA00642,NA,NA,NA,NA,NA,NA,NA,NA
TA00643,136.88,96.77,NA,3.56,0.75,NA,NA,NA
TA00644,123.22,88.15,NA,0.05,0.12,NA,NA,NA
TA00645,133.55,63.66,NA,0.02,0.75,NA,NA,NA
TA00646,129.55,76.66,NA,3.56,2.12,NA,NA,NA
TA00647,126.55,75.74,NA,3.03,2.88,NA,NA,NA
TA00648,131.22,108.37,NA,6.03,2.12,NA,NA,NA
TA00649,128.88,61.97,NA,5.56,2.12,NA,NA,NA
TA00651,NA,NA,NA,NA,NA,NA,NA,NA
TA00652,NA,NA,NA,NA,NA,NA,NA,NA
TA00654,NA,NA,NA,NA,NA,NA,NA,NA
TA00655,128.22,67.59,NA,3.03,0.75,NA,NA,NA
TA00656,125.55,83.35,NA,1.06,2.12,NA,NA,NA
TA00657,133.19,126.5,44.11,1.95,2.5,3.32,15.29,50.05
TA00658,136.23,130.44,43.32,2.47,3.23,3.01,15.78,32.53
TA00659,134,120.34,43.42,2.29,4.11,2.84,16.05,33.95
TA00660,133.73,119.39,44.43,2.29,1.1,3.06,16.01,29.7
TA00661,121.16,54.04,37.53,1.51,1.26,3.77,17,56.07
TA00662,123.41,78.77,40.02,1.51,2.85,3.31,13.16,49.99
TA00663,124.66,66.79,35.88,1.92,3.51,3.71,15.11,41.57
TA00664,127.3,67.7,36.34,1.92,3.54,3.18,15.04,42.37
TA00665,NA,NA,NA,NA,NA,NA,NA,NA
TA00666,NA,NA,NA,NA,NA,NA,NA,NA
TA00667,NA,NA,NA,NA,NA,NA,NA,NA
TA00669,NA,NA,NA,NA,NA,NA,NA,NA
TA00670,NA,NA,NA,NA,NA,NA,NA,NA
