genotype,plant_height_BLUE
CGN01424,69.55
CGN01425,NA
CGN01426,72.84
CGN01427,65.82
CGN01428,71.41
CGN01429,NA
CGN01430,NA
CGN01431,NA
CGN01432,NA
CGN01433,83.94
CGN01434,NA
CGN01436,NA
CGN01437,69.63
CGN01438,NA
CGN01439,NA
CGN01440,NA
CGN01441,NA
CGN01442,NA
CGN01443,NA
CGN01444,NA
CGN01445,84.4
CGN01446,NA
CGN01447,83.94
CGN01448,NA
CGN01449,NA
CGN01450,NA
CGN01548,NA
CGN01616,NA
CGN01617,NA
CGN01618,NA
CGN01619,NA
CGN01620,NA
CGN01621,NA
CGN01622,79.39
CGN01623,NA
CGN01624,78.17
CGN01625,NA
CGN01626,80.93
CGN01627,NA
CGN01628,NA
CGN01629,NA
CGN01630,86.29
CGN01631,87.12
CGN01632,89.79
CGN01633,NA
CGN01634,84.1
CGN01635,NA
CGN01636,NA
CGN01637,NA
CGN01638,NA
CGN01639,NA
CGN01640,NA
CGN01641,NA
CGN01642,NA
CGN01643,88.11
CGN01644,NA
CGN01645,77.2
CGN01646,NA
CGN01647,84.89
CGN01648,87.86
CGN01649,89.79
CGN01650,NA
CGN01651,NA
CGN01652,76.76
CGN01653,NA
CGN01654,NA
CGN01655,NA
CGN01656,NA
CGN01657,80.11
CGN01658,90.87
CGN01659,NA
CGN01660,NA
CGN01661,NA
CGN01662,NA
CGN01663,NA
CGN01664,82.69
CGN01665,NA
CGN01666,NA
CGN01667,NA
CGN01668,NA
CGN01669,NA
CGN01670,NA
CGN01671,NA
CGN01672,NA
CGN01673,NA
CGN01674,NA
CGN01675,NA
CGN01676,NA
CGN01677,NA
CGN01678,NA
CGN01679,NA
CGN01680,NA
CGN01681,NA
CGN01682,NA
CGN01683,NA
CGN01684,NA
CGN01685,84.93
CGN01686,91.09
CGN01687,89.1
CGN01688,85.06
CGN01689,78.11
CGN01690,NA
CGN01691,88.08
CGN01692,NA
CGN01693,NA
CGN01694,NA
CGN01695,88.21
CGN01696,NA
CGN01697,NA
CGN01698,75.97
CGN01699,NA
CGN01700,87.22
CGN01701,NA
CGN01702,NA
CGN01703,NA
CGN01704,NA
CGN01705,NA
CGN01706,84.87
CGN01707,NA
CGN01708,NA
CGN01709,78.42
CGN01710,NA
CGN01711,NA
CGN01712,NA
CGN01713,NA
CGN01714,NA
CGN01715,NA
CGN01716,NA
CGN01717,NA
CGN01718,NA
CGN01719,NA
CGN01720,NA
CGN01721,NA
CGN01722,NA
CGN01723,NA
CGN01724,NA
CGN01725,NA
CGN01726,NA
CGN01727,NA
CGN01728,NA
CGN01729,89.1
CGN01730,NA
CGN01731,NA
CGN01732,NA
CGN01733,NA
CGN01734,NA
CGN01735,NA
CGN01736,NA
CGN01737,NA
CGN01738,NA
CGN01739,NA
CGN01740,NA
CGN01741,NA
CGN01742,NA
CGN01743,NA
CGN01744,NA
CGN01745,NA
CGN01746,NA
CGN01747,NA
CGN01748,NA
CGN01749,NA
CGN01750,NA
CGN01751,NA
CGN01752,NA
CGN01753,NA
CGN01754,86.09
CGN01755,NA
CGN01756,NA
CGN01757,NA
CGN01758,NA
CGN01759,NA
CGN01760,NA
CGN01761,76.76
CGN01762,NA
CGN01763,NA
CGN01764,NA
CGN01765,NA
CGN01766,NA
CGN01767,NA
CGN01768,93.08
CGN01769,92.65
CGN01770,NA
CGN01771,85.59
CGN01772,72.12
CGN01773,NA
CGN01774,81.76
CGN01776,69.1
CGN01777,NA
CGN01778,NA
CGN01779,NA
CGN01780,NA
CGN01781,74.1
CGN01782,72.05
CGN01783,NA
CGN01784,NA
CGN01785,NA
CGN01786,NA
CGN01787,NA
CGN01788,62.05
CGN01789,NA
CGN01790,NA
CGN01791,72.05
CGN01792,73.21
CGN01793,NA
CGN01794,66.09
CGN01795,NA
CGN01796,NA
CGN01797,NA
CGN01798,NA
CGN01799,76.94
CGN01800,73.26
CGN01801,NA
CGN01802,NA
CGN01803,NA
CGN01804,NA
CGN01805,NA
CGN01806,74.04
CGN01807,NA
CGN01808,70.06
CGN01809,82.69
CGN01810,88
CGN01812,NA
CGN01813,61.09
CGN01814,NA
CGN01816,NA
CGN01817,86.76
CGN01818,NA
CGN01819,NA
CGN01820,67.12
CGN01821,NA
CGN01822,69.1
CGN01823,NA
CGN01824,68.91
CGN01825,78.29
CGN01826,NA
CGN01827,NA
CGN01828,NA
CGN01829,NA
CGN01830,86.76
CGN01831,64.1
CGN01834,NA
CGN01836,NA
CGN01839,NA
CGN01840,NA
CGN01848,NA
CGN01849,NA
CGN01856,NA
CGN01857,NA
CGN01859,NA
CGN01860,NA
CGN01863,NA
CGN01869,NA
CGN01870,NA
CGN01871,NA
CGN01872,NA
CGN01878,NA
CGN01899,NA
CGN01901,NA
CGN01902,NA
CGN01904,NA
CGN01909,NA
CGN01919,NA
CGN01923,NA
CGN01924,NA
CGN01925,NA
CGN01926,NA
CGN01927,NA
CGN01928,NA
CGN01932,NA
CGN01934,NA
CGN01936,NA
CGN01937,NA
CGN01939,NA
CGN01951,NA
CGN01952,NA
CGN01953,105.93
CGN01976,NA
CGN01993,NA
CGN01997,NA
CGN01998,NA
CGN02009,NA
CGN02010,NA
CGN02027,NA
CGN02028,NA
CGN02034,NA
CGN02036,NA
CGN02063,NA
CGN02071,NA
CGN02107,NA
CGN02113,NA
CGN02114,NA
CGN02138,NA
CGN02156,NA
CGN02214,NA
CGN02217,NA
CGN02218,NA
CGN02269,NA
CGN02270,NA
CGN02271,NA
CGN02272,NA
CGN02273,NA
CGN02274,NA
CGN02275,NA
CGN02276,NA
CGN02277,NA
CGN02278,NA
CGN02279,NA
CGN02280,NA
CGN02281,NA
CGN02282,121.43
CGN02283,NA
CGN02284,NA
CGN02285,NA
CGN02286,121.43
CGN02287,114.61
CGN02288,117.87
CGN02289,NA
CGN02290,75.75
CGN02291,NA
CGN02292,NA
CGN02293,104.27
CGN02294,103.1
CGN02295,97.66
CGN02296,99.61
CGN02297,NA
CGN02298,72.71
CGN02299,84.41
CGN02300,NA
CGN02301,NA
CGN02302,NA
CGN02303,NA
CGN02304,NA
CGN02305,NA
CGN02306,102.98
CGN02307,86.53
CGN02308,98.8
CGN02309,138.1
CGN02310,134.83
CGN02311,111.84
CGN02312,NA
CGN02313,NA
CGN02314,87.92
CGN02315,105.75
CGN02316,106.62
CGN02317,NA
CGN02318,NA
CGN02319,68.8
CGN02320,NA
CGN02321,NA
CGN02322,NA
CGN02325,92.92
CGN02326,86.84
CGN02327,NA
CGN02328,NA
CGN02329,87.61
CGN02330,NA
CGN02418,NA
CGN02419,NA
CGN02420,71.76
CGN02421,NA
CGN02422,81.76
CGN02423,NA
CGN02424,NA
CGN02425,71.72
CGN02426,NA
CGN02427,78.75
CGN02428,NA
CGN02429,NA
CGN02430,71.76
CGN02431,NA
CGN02432,NA
CGN02433,NA
CGN02434,NA
CGN02435,77.69
CGN02436,72.37
CGN02437,73.99
CGN02438,NA
CGN02439,68.94
CGN02440,NA
CGN02441,NA
CGN02442,NA
CGN02443,NA
CGN02444,77.83
CGN02445,71.76
CGN02446,64.86
CGN02447,80.8
CGN02448,NA
CGN02449,NA
CGN02450,71.49
CGN02451,NA
CGN02452,66.49
CGN02453,NA
CGN02454,74.87
CGN02455,81.62
CGN02456,NA
CGN02457,75.8
CGN02458,81.9
CGN02459,NA
CGN02460,77.58
CGN02461,80.89
CGN02462,NA
CGN02463,NA
CGN02464,NA
CGN02465,82.85
CGN02466,NA
CGN02467,86.76
CGN02468,NA
CGN02469,91.6
CGN02470,NA
CGN02471,87.85
CGN02472,88
CGN02473,NA
CGN02474,NA
CGN02475,NA
CGN02476,82.46
CGN02477,NA
CGN02478,80.22
CGN02479,NA
CGN02480,NA
CGN02481,NA
CGN02482,93.94
CGN02483,NA
CGN02484,NA
CGN02485,NA
CGN02486,NA
CGN02487,71.76
CGN02488,NA
CGN02489,NA
CGN02490,89.49
CGN02491,NA
CGN02492,NA
CGN02493,NA
CGN02494,NA
CGN02495,87.09
CGN02496,97.46
CGN02497,NA
CGN02498,82.76
CGN02499,NA
CGN02500,82.85
CGN02501,NA
CGN02502,NA
CGN02503,NA
CGN02504,NA
CGN02505,NA
CGN02506,NA
CGN02507,NA
CGN02508,NA
CGN02509,NA
CGN02510,NA
CGN02511,NA
CGN02512,NA
CGN02513,82.76
CGN02514,NA
CGN02515,NA
CGN02516,92.08
CGN02517,81.76
CGN02518,NA
CGN02519,NA
CGN02520,NA
CGN02521,NA
CGN02522,NA
CGN02523,NA
CGN02524,NA
CGN02525,NA
CGN02526,NA
CGN02527,NA
CGN02528,NA
CGN02529,NA
CGN02530,NA
CGN02531,NA
CGN02532,NA
CGN02533,NA
CGN02534,NA
CGN02535,NA
CGN02536,NA
CGN02537,NA
CGN02538,NA
CGN02539,NA
CGN02540,81.69
CGN02541,81.76
CGN02542,92.92
CGN02543,NA
CGN02544,NA
CGN02545,NA
CGN02546,84.34
CGN02547,NA
CGN02548,NA
CGN02549,NA
CGN02550,NA
CGN02551,99.8
CGN02552,96.06
CGN02553,NA
CGN02554,94.38
CGN02555,80.16
CGN02556,91.7
CGN02557,99.47
CGN02558,NA
CGN02559,NA
CGN02560,NA
CGN02561,NA
CGN02562,NA
CGN02563,98.61
CGN02564,NA
CGN02565,NA
CGN02566,102.92
CGN02567,107.92
CGN02568,107.07
CGN02569,90.93
CGN02570,94.38
CGN02571,NA
CGN02572,107.84
CGN02573,88.25
CGN02574,NA
CGN02575,NA
CGN02576,94.47
CGN02577,89.8
CGN02578,NA
CGN02579,NA
CGN02580,88.34
CGN02581,NA
CGN02582,93.25
CGN02583,NA
CGN02584,NA
CGN02585,NA
CGN02586,NA
CGN02587,NA
CGN02588,97.6
CGN02589,97.88
CGN02590,96.02
CGN02591,NA
CGN02592,NA
CGN02593,NA
CGN02594,99.73
CGN02595,NA
CGN02596,NA
CGN02597,100.29
CGN02598,NA
CGN02599,NA
CGN02600,94.07
CGN02601,NA
CGN02602,NA
CGN02603,105.52
CGN02604,NA
CGN02605,NA
CGN02606,102.6
CGN02607,NA
CGN02608,103.34
CGN02609,99.72
CGN02610,87.96
CGN02612,111.09
CGN02613,90.12
CGN02614,100.67
CGN02615,100.02
CGN02616,102.36
CGN02617,NA
CGN02618,92.58
CGN02619,91.25
CGN02620,NA
CGN02621,91.02
CGN02622,95.41
CGN02623,92.21
CGN02624,NA
CGN02625,NA
CGN02626,NA
CGN02627,NA
CGN02628,NA
CGN02629,107.47
CGN02630,89.95
CGN02631,100.32
CGN02632,NA
CGN02633,95.81
CGN02634,NA
CGN02635,101.3
CGN02636,89.36
CGN02637,NA
CGN02638,NA
CGN02639,NA
CGN02677,NA
CGN02679,NA
CGN02682,NA
CGN02683,NA
CGN02684,NA
CGN02685,NA
CGN02686,NA
CGN02689,NA
CGN02690,NA
CGN02691,NA
CGN02692,NA
CGN02693,NA
CGN02696,NA
CGN02697,NA
CGN02698,NA
CGN02699,NA
CGN02700,NA
CGN02701,NA
CGN02702,NA
CGN02709,NA
CGN02710,NA
CGN02711,NA
CGN02712,NA
CGN02713,NA
CGN02714,NA
CGN02715,NA
CGN02719,NA
CGN02720,NA
CGN02721,97.78
CGN02722,NA
CGN02723,NA
CGN02724,NA
CGN02725,NA
CGN02726,NA
CGN02727,NA
CGN02728,NA
CGN02729,94.49
CGN02730,97.78
CGN02731,NA
CGN02732,NA
CGN02733,NA
CGN02734,NA
CGN02735,111.03
CGN02737,106.27
CGN02738,NA
CGN02739,100.4
CGN02740,NA
CGN02741,98.34
CGN02742,NA
CGN02743,NA
CGN02744,NA
CGN02745,104.47
CGN02746,104.47
CGN02747,NA
CGN02748,96.76
CGN02749,NA
CGN02750,111.03
CGN02751,NA
CGN02752,92.43
CGN02753,NA
CGN02754,NA
CGN02755,NA
CGN02756,NA
CGN02757,103.34
CGN02758,99.49
CGN02759,93.37
CGN02760,95.38
CGN02761,89.35
CGN02762,87.58
CGN02763,99.97
CGN02764,NA
CGN02765,86.41
CGN02766,NA
CGN02767,93.34
CGN02768,85.69
CGN02769,NA
CGN02770,96.71
CGN02771,NA
CGN02772,NA
CGN02773,91.6
CGN02774,NA
CGN02775,NA
CGN02776,NA
CGN02777,79.86
CGN02778,NA
CGN02779,NA
CGN02780,NA
CGN02781,88.33
CGN02782,88.34
CGN02783,NA
CGN02784,NA
CGN02785,NA
CGN02786,NA
CGN02787,NA
CGN02788,NA
CGN02789,NA
CGN02790,NA
CGN02791,104.47
CGN02792,NA
CGN02793,NA
CGN02794,NA
CGN02795,NA
CGN02796,NA
CGN02797,NA
CGN02798,NA
CGN02799,NA
CGN02800,NA
CGN02801,NA
CGN02802,NA
CGN02803,NA
CGN02804,NA
CGN02805,NA
CGN02806,97.93
CGN02807,NA
CGN02808,NA
CGN02809,NA
CGN02810,NA
CGN02811,NA
CGN02812,NA
CGN02813,NA
CGN02814,NA
CGN02815,NA
CGN02816,NA
CGN02817,NA
CGN02818,NA
CGN02819,NA
CGN02820,102.92
CGN02821,NA
CGN02822,NA
CGN02823,98.25
CGN02824,NA
CGN02825,94.8
CGN02826,98.44
CGN02827,95.07
CGN02828,NA
CGN02829,NA
CGN02830,NA
CGN02831,NA
CGN02832,NA
CGN02833,101.36
CGN02834,104.65
CGN02835,NA
CGN02836,NA
CGN02837,NA
CGN02838,90.07
CGN02839,84.86
CGN02840,NA
CGN02841,NA
CGN02842,86.99
CGN02843,NA
CGN02844,NA
CGN02845,102.92
CGN02846,NA
CGN02847,NA
CGN02848,99.47
CGN02849,NA
CGN02850,NA
CGN02851,NA
CGN02852,NA
CGN02853,101.76
CGN02854,NA
CGN02855,NA
CGN02856,NA
CGN02857,86.41
CGN02858,NA
CGN02859,NA
CGN02860,NA
CGN02861,NA
CGN02862,NA
CGN02863,NA
CGN02864,NA
CGN02865,NA
CGN02866,NA
CGN02867,NA
CGN02868,NA
CGN02869,NA
CGN02870,81.76
CGN02871,NA
CGN02872,NA
CGN02873,NA
CGN02874,NA
CGN02875,NA
CGN02876,NA
CGN02877,NA
CGN02878,NA
CGN02879,NA
CGN02880,NA
CGN02881,NA
CGN02882,NA
CGN02883,NA
CGN02884,NA
CGN02885,NA
CGN02886,NA
CGN02887,NA
CGN02888,NA
CGN02889,NA
CGN02890,NA
CGN02891,NA
CGN02892,NA
CGN02893,NA
CGN02894,NA
CGN03354,105.63
CGN03355,92.43
CGN03356,NA
CGN03357,104.25
CGN03358,NA
CGN03359,103.61
CGN03360,100.82
CGN03362,83.61
CGN03363,NA
CGN03364,101.76
CGN03365,NA
CGN03366,NA
CGN03367,90.44
CGN03368,NA
CGN03369,NA
CGN03370,NA
CGN03371,NA
CGN03372,85.82
CGN03373,NA
CGN03374,104.86
CGN03375,NA
CGN03376,NA
CGN03377,NA
CGN03378,104.86
CGN03379,NA
CGN03380,NA
CGN03381,NA
CGN03382,106.34
CGN03383,NA
CGN03384,NA
CGN03385,NA
CGN03386,NA
CGN03387,NA
CGN08532,NA
CGN08533,NA
CGN11178,NA
CGN11179,NA
CGN11180,NA
CGN11182,NA
CGN11183,NA
CGN11184,NA
CGN11185,NA
CGN11186,NA
CGN11187,NA
CGN11188,NA
CGN11189,NA
CGN11190,NA
CGN11192,NA
CGN11193,NA
CGN11194,NA
CGN11195,NA
CGN11196,NA
CGN11197,NA
CGN11198,NA
CGN11199,NA
CGN11200,NA
CGN11201,NA
CGN11202,NA
CGN11203,NA
CGN11205,NA
CGN11206,NA
CGN11207,NA
CGN11209,NA
CGN11210,NA
CGN11211,NA
CGN11225,NA
CGN11226,NA
CGN11227,NA
CGN11228,NA
CGN11229,NA
CGN11230,NA
CGN11231,NA
CGN11232,NA
CGN11233,NA
CGN11234,NA
CGN11235,NA
CGN11236,NA
CGN11237,NA
CGN11238,NA
CGN11239,NA
CGN11240,NA
CGN11241,NA
CGN11242,NA
CGN11243,NA
CGN11244,NA
CGN11245,NA
CGN11246,NA
CGN11274,NA
CGN11275,NA
CGN11276,65.93
CGN11277,NA
CGN11278,NA
CGN11279,NA
CGN11280,NA
CGN11281,NA
CGN11282,NA
CGN11283,NA
CGN11284,68.25
CGN11285,NA
CGN11286,77.78
CGN11287,NA
CGN11288,NA
CGN11289,70.16
CGN11290,66.41
CGN11291,NA
CGN11292,NA
CGN11293,71.36
CGN11294,70.13
CGN11295,NA
CGN11296,NA
CGN11297,NA
CGN11298,NA
CGN11299,NA
CGN11300,NA
CGN11301,94.8
CGN11302,NA
CGN11303,NA
CGN11304,NA
CGN11305,92.93
CGN11306,NA
CGN11307,72.79
CGN11308,73.25
CGN11309,NA
CGN11310,63.23
CGN11311,NA
CGN11312,NA
CGN11313,NA
CGN11314,NA
CGN11315,NA
CGN11316,NA
CGN11823,68.23
CGN11824,82.24
CGN11825,NA
CGN11839,NA
CGN11856,78.25
CGN11857,71.36
CGN11858,81.69
CGN11859,73.25
CGN11860,NA
CGN11861,71.36
CGN11862,68.25
CGN11863,80.13
CGN11864,NA
CGN11865,68.25
CGN11866,NA
CGN11867,76.69
CGN12973,NA
CGN12980,NA
CGN12983,62.85
CGN12984,76.72
CGN12986,NA
CGN12988,NA
CGN12989,NA
CGN12990,NA
CGN12992,NA
CGN12993,NA
CGN12994,NA
CGN12995,NA
CGN12996,NA
CGN12997,NA
CGN12998,NA
CGN12999,97.74
CGN13000,87.74
CGN13001,97.74
CGN13002,97.74
CGN13003,102.74
CGN13004,97.74
CGN13005,92.74
CGN13006,87.74
CGN13007,72.74
CGN13008,87.74
CGN13009,82.74
CGN13010,82.74
CGN13012,NA
CGN13013,NA
CGN13015,NA
CGN13016,NA
CGN13020,NA
CGN13021,NA
CGN13022,NA
CGN13023,NA
CGN13025,NA
CGN13026,NA
CGN13027,NA
CGN13028,NA
CGN15011,NA
CGN15019,NA
CGN15041,NA
CGN15042,NA
CGN15048,NA
CGN15060,NA
CGN15068,NA
CGN15086,NA
CGN15088,NA
CGN15093,NA
CGN15103,NA
CGN15106,NA
CGN15111,106.76
CGN15650,NA
CGN15651,NA
CGN15652,NA
CGN15653,NA
CGN16158,NA
CGN16160,NA
CGN16162,NA
CGN16168,NA
CGN16169,NA
CGN16172,NA
CGN16173,NA
CGN19312,NA
CGN19313,NA
CGN19317,69.52
CGN19319,NA
CGN19324,NA
CGN19325,NA
CGN19328,NA
CGN21733,NA
CGN21734,NA
CGN21735,NA
CGN21737,NA
CGN21738,NA
CGN21739,NA
CGN21740,NA
CGN21741,NA
CGN21743,NA
CGN21745,NA
CGN21746,81.69
CGN21747,81.69
CGN21749,98.76
CGN21750,71.71
CGN21751,NA
CGN23085,73.51
CGN23651,NA
CGN23653,NA
